ArrivedTime,ExecutionTime(ms),,,,,,,,,,,
10/06/2020 14:18:04.003 ,23,,,,,,,,,,,
10/06/2020 14:17:58.199 ,0,,,,,,,,,,,
10/06/2020 14:16:31.261 ,56,,,,,,,,,,,
10/06/2020 14:17:04.908 ,20,,,,,,,,,,,
10/06/2020 14:18:16.928 ,0,,,,,,,,,,,
10/06/2020 14:18:26.718 ,0,,,,,,,,,,,
10/06/2020 14:17:32.422 ,23,,,,,,,,,,,
10/06/2020 14:18:21.096 ,0,,,,,,,,,,,
10/06/2020 14:16:36.239 ,57,,,,,,,,,,,
10/06/2020 14:17:54.014 ,0,,,,,,,,,,,
10/06/2020 14:17:57.605 ,0,,,,,,,,,,,
10/06/2020 14:18:09.305 ,0,,,,,,,,,,,
10/06/2020 14:18:08.507 ,0,,,,,,,,,,,
10/06/2020 14:18:06.748 ,0,,,,,,,,,,,
10/06/2020 14:17:59.385 ,0,,,,,,,,,,,
10/06/2020 14:18:20.009 ,0,,,,,,,,,,,
10/06/2020 14:17:40.265 ,23,,,,,,,,,,,
10/06/2020 14:18:14.380 ,0,,,,,,,,,,,
10/06/2020 14:18:15.791 ,0,,,,,,,,,,,
10/06/2020 14:18:21.671 ,0,,,,,,,,,,,
10/06/2020 14:17:53.792 ,21,,,,,,,,,,,
10/06/2020 14:17:44.015 ,0,,,,,,,,,,,
10/06/2020 14:17:46.794 ,0,,,,,,,,,,,
10/06/2020 14:18:03.088 ,0,,,,,,,,,,,
10/06/2020 14:17:44.163 ,0,,,,,,,,,,,
10/06/2020 14:17:44.580 ,0,,,,,,,,,,,
10/06/2020 14:17:50.248 ,0,,,,,,,,,,,
10/06/2020 14:18:38.130 ,0,,,,,,,,,,,
10/06/2020 14:18:55.072 ,0,,,,,,,,,,,
10/06/2020 14:17:55.110 ,22,,,,,,,,,,,
10/06/2020 14:17:42.042 ,0,,,,,,,,,,,
10/06/2020 14:18:19.500 ,22,,,,,,,,,,,
10/06/2020 14:18:19.269 ,0,,,,,,,,,,,
